id,f1,accuracy,time,M,alpha
0,0.324688268007,0.433789553595,0.0213263829549,64,1e-05
1,0.387299857294,0.482486659924,0.016054948171,134,1e-05
2,0.453627937687,0.521540982895,0.0145507653554,284,1e-05
3,0.488487416882,0.548103848201,0.00953571001689,600,1e-05
4,0.505978293859,0.562461342307,0.0233226617177,1265,1e-05
5,0.501641037697,0.559131244348,0.019859234492,2667,1e-05
6,0.504473981343,0.560521445455,0.0151879787445,5624,1e-05
7,0.503166813838,0.557883280335,0.0326000054677,-1,1e-05
8,0.324688268007,0.433789553595,0.0100090503693,64,0.0001
9,0.387292633203,0.482486659924,0.00931080182393,134,0.0001
10,0.453450455671,0.521471552916,0.0113476912181,284,0.0001
11,0.488612444815,0.548381163834,0.0222047170003,600,0.0001
12,0.506672752101,0.563085591142,0.0254399776459,1265,0.0001
13,0.503136744429,0.560518501176,0.0214296976725,2667,0.0001
14,0.506721562033,0.562949444209,0.0191767215729,5624,0.0001
15,0.506713833015,0.560935745162,0.0353279908498,-1,0.0001
16,0.324758031144,0.433858983575,0.0160230000814,64,0.001
17,0.387327066328,0.482556147582,0.0163186391195,134,0.001
18,0.454140884267,0.521749200602,0.0298183759054,284,0.001
19,0.490676275693,0.549144142718,0.0324796835581,600,0.001
20,0.508488649966,0.564542220272,0.0288225809733,1265,0.001
21,0.505280113542,0.562668953585,0.01766705513,2667,0.001
22,0.511155578208,0.566833278615,0.0272254149119,5624,0.001
23,0.512002984399,0.565791079104,0.0302512645721,-1,0.001
24,0.324907027811,0.433928341322,0.00973169008891,64,0.01
25,0.386892625731,0.482625447651,0.0130182902018,134,0.01
26,0.453867179262,0.52181871737,0.0160403251648,284,0.01
27,0.489764029197,0.549768969413,0.0217819213867,600,0.01
28,0.510183720476,0.566622896093,0.0280353228251,1265,0.01
29,0.51002478899,0.567245586001,0.0193383693695,2667,0.01
30,0.51768714765,0.574669986595,0.0469032923381,5624,0.01
31,0.520935856551,0.577235632991,0.0263697306315,-1,0.01
32,0.325071063175,0.434067201282,0.0315872828166,64,0.1
33,0.387548224016,0.482694473344,0.0108119646708,134,0.1
34,0.45321781395,0.522374287119,0.0139719645182,284,0.1
35,0.487449257194,0.550671038969,0.0107084115346,600,0.1
36,0.512598974809,0.570715236596,0.0229883988698,1265,0.1
37,0.510184529101,0.575846385463,0.0191246668498,2667,0.1
38,0.506766937516,0.583825475002,0.0179390112559,5624,0.1
39,0.512695173525,0.593952188567,0.0319602489471,-1,0.1
40,0.320983662665,0.434690771995,0.0244689782461,64,1.0
41,0.375213158753,0.479990587433,0.0206014315287,134,1.0
42,0.431395242953,0.520085018414,0.0121787389119,284,1.0
43,0.442363277649,0.542139728786,0.0178006490072,600,1.0
44,0.443743284428,0.552403409169,0.0177453358968,1265,1.0
45,0.404932565412,0.540819907994,0.018901348114,2667,1.0
46,0.36994162875,0.526254513139,0.0172980626424,5624,1.0
47,0.370125317965,0.529653088041,0.0274976094564,-1,1.0
48,0.263027912239,0.413467171921,0.0140459537506,64,10.0
49,0.284380434073,0.444617509897,0.00952927271525,134,10.0
50,0.266261749811,0.450169943992,0.0590713024139,284,10.0
51,0.238593149324,0.440108807835,0.0176593462626,600,10.0
52,0.210337506064,0.426791852971,0.0117003122965,1265,10.0
53,0.197319054472,0.419994890216,0.0211590131124,2667,10.0
54,0.178724255215,0.408202578919,0.0220456123352,5624,10.0
55,0.164740232663,0.393568419272,0.0353616078695,-1,10.0
